"PMID","Title","abstract"
"16295231","Fitting hearing aids using clinical prefitting speech measures: an evidence-based review.","A systematic review of the literature addressed the question &quot;Is there evidence of a good correlation between unaided prefitting speech measures and aided satisfaction on self-report measures?&quot; This restricted question is only one of several possible questions related to speech measures and hearing aid fittings. The levels of evidence that were accepted included meta-analyses, randomized controlled trials, and nonrandomized intervention studies. Nearly 300 articles and book chapters were identified during the initial search; 220 were eliminated on the basis of their abstracts; and 80 papers and book chapters were reviewed in depth. Five studies met the criteria set forth in this review. No significant correlation between traditional unaided prefitting speech measures and aided satisfaction was found in any of the five studies. One of the studies showed a correlation between the results of a prefitting speech-in-noise test and self-reported aided satisfaction."
"16078730","Comparison of two adaptive procedures for fitting a multi-channel compression hearing aid.","We compared two adaptive procedures for fitting a multi-channel compression hearing aid. &quot;Camadapt&quot; uses judgements of the loudness of speech stimuli and the tonal quality of music stimuli. &quot;Eartuner&quot; uses judgements of the loudness and clarity of speech stimuli with differing spectral characteristics. Sixteen new users of hearing aids were fitted unilaterally, using each procedure. The fittings were assigned to Programs 1 and 2 in the aid, in a counter-balanced order. Subjects kept a diary of their experiences with each program in everyday life. Following 2-4 weeks of experience, they filled in the APHAB and other questionnaires and were re-fitted using both procedures. Camadapt generally led to higher low-level gains and lower high-level gains than Eartuner. Gains recommended by the procedures did not change following experience. Eight subjects preferred the Camadapt fitting and eight preferred the Eartuner fitting. Most subjects gave high overall satisfaction ratings for both procedures. Test-retest reliability was better for Eartuner than for Camadapt. Preference for the Camadapt fitting was associated with slightly better speech communication with Camadapt, while preference for the Eartuner fitting was associated with fewer problems with aversion for that procedure."
"16012028","Digital hearing aids for high-frequency sensorineural hearing loss: preliminary experience with the RetroX device.","CONCLUSIONS: The RetroX outer ear hearing aid seems to represent a means of overcoming problems with understanding speech in noise in patients with high-frequency sensorineural hearing loss (SNHL) without the need to wear conventional completely-in-the-canal (CIC) hearing aids, which are usually reported to annoy patients as a result of the occlusion effect.OBJECTIVE: To present preliminary data from a study carried out to compare the efficacy, in the same individual, of a standard digital CIC hearing aid and a new implantable outer ear canal device, the RetroX.MATERIAL AND METHODS: Three out of 15 adults affected by high-frequency SNHL who were candidates for auditory rehabilitation were evaluated by using speech audiometric tests in quiet and noise as well as a questionnaire shortly after use of a CIC hearing aid and the RetroX device, i.e. at 7 and 14 days. The efficacy of the RetroX was anticipated by testing all the subjects using a RetroX simulating system before starting the study protocol.RESULTS: In all three implanted patients, the RetroX provided better audiological benefit for speech understanding in noise. These findings were corroborated by the results of the questionnaire, which showed greater satisfaction with the RetroX, especially regarding the absence of the occlusion effect."
"15913157","Sound quality judgements of new hearing instrument users over a 24-week post-fitting period.","The time course of changes in perceived sound quality after hearing instrument fitting has not been studied systematically It is possible, for example, that patients may object to additional high frequency gain when fitted, but not after a period of auditory acclimatisation. The aim of this study was to utilise sound quality judgements to compare two frequency responses in new users at 4-week intervals over a 24-week post-fitting period. The null hypothesis was that there would be no change in sound quality judgements over time. A total of 16 elderly subjects were fitted monaurally with the same model of linear, programmable hearing instrument. This was set to a standard response that provided 26-29 dB of real-ear insertion gain at 2000 4000 Hz. This program was worn by the subjects for the duration of the study. All subjects reported greater than four hours of daily use. The alternative response which was used in a paired comparison paradigm, provided a mean gain reduction of 3, 8, 13, and 16 dB at 2000, 3000, 4000 and 6000 Hz, respectively. Subjects compared the standard and the alternative responses for sound quality along dimensions of comfort, clarity, and overall preference while listening to running speech presented in quiet, steady noise, and speech babble. At the time of fitting there was a small preference for the standard response when judging clarity, but the alternative response was preferred for comfort and preferred overall. Repeated-measures analysis of variance (ANOVA) for each quality dimension did not reveal any statistically significant change over time. It is concluded that this pattern of preference is unaffected by acclimatisation to amplification, at least over the initial 24 weeks of instrument use."
"15807049","The effects of expansion on the objective and subjective performance of hearing instrument users.","The present study investigated the effects of expansion on the objective and subjective performance of 20 hearing instrument users fitted binaurally with digital ITE products. Objective performance was evaluated in quiet using the Connected Speech Test and in noise using the Hearing in Noise Test. Subjective performance was evaluated in two ways: (a) by having each participant rate their satisfaction regarding the amount of noise reduction they perceived in each expansion condition on a daily basis and (b) by having each participant indicate which expansion condition they preferred following the completion of a two-week trial. Results indicated that expansion significantly reduced low-level speech perception performance; however, satisfaction and preference ratings significantly increased when using expansion. The effect of degree of hearing loss, expansion kneepoint, and expansion ratio on the effectiveness of expansion for a given listener was discussed."
"15711479","[Acoustic hearing aid with an integrated noise generator in hearing-impaired subjects with tinnitus].","INTRODUCTION: Sound therapy has been studied in a group of 30 patients experiencing hearing loss and tinnitus.MATERIAL AND METHODS: Patients wore a BTE hearing-aid (TCI-COMBI by Siemens), which, in addition to acoustic amplification, can generate a broadband noise. Comparison of self-questionnaires completed by the patients during a 12 week period with amplification alone to a 12 week period with amplification and noise.RESULTS AND CONCLUSIONS: His study demonstrates that the level of suffering is significantly reduced during the period with added noise."
"17153718","Effect of multichannel digital signal processing on loudness comfort, sentence recognition, and sound quality.","This study evaluated the effect of increasing the number of processing channels from 32- to 64-signal processing channels on subjects' loudness comfort and satisfaction, sentence recognition, and sound quality of his or her own voice. Ten experienced hearing aid users with mild-to-moderate sensorineural hearing loss wore behind-the-ear (BTE) hearing aids with Adaptive Dynamic Range Optimization (ADRO) signal processing for a period of six weeks in the 32-channel and 64-channel conditions. Results revealed no significant differences in loudness comfort or satisfaction for the majority of sound samples as measured by the Subjective Loudness Test and Environmental Sounds Questionnaire. No significant differences in sentence recognition between the two processing conditions were found as measured by the Hearing In Noise Test (HINT). Additionally, no subjective differences in sound quality of subjects' own voice were determined by the Listening Tasks Questionnaire."
"16959733","Amplification with digital noise reduction and the perception of annoying and aversive sounds.","Hearing aid users report difficulties using their hearing aids in noisy environments. Problems include understanding speech, loudness discomfort, and annoyance with background noise. Digital noise reduction algorithms have been promoted as a method to solve speech understanding and comfort in noise problems. Research has failed to find improved speech understanding in noise. Little is known about how digital noise reduction affects noise annoyance and aversiveness. The goals of this investigation were to determine how a specific digital noise reduction system affects hearing aid users' perception of noise annoyance and aversiveness and to compare their perceptions to those of normal-hearing listeners. Ratings of noise annoyance and of aversiveness were obtained from 49 participants with moderate sensorineural hearing loss before fitting and after 3 weeks of hearing aid use. Findings were compared to measures obtained from normal-hearing listeners. Perceived annoyance and aversiveness increased with amplification. Annoyance and aversiveness with the hearing aid approximated normal perception. The results of this investigation suggest the need for counseling patients about realistic expectations related to annoyance and aversiveness of sounds at the time of hearing aid fitting."
"16927516","Improving speech intelligibility in background noise with an adaptive directional microphone.","Omnidirectional, supercardioid, and adaptive directional microphones (ADM) were evaluated in combination with the ADRO amplification scheme for eight participants with moderate sloping hearing losses. The ADM produced better speech perception scores than the other two microphones in all noise conditions. Participants performed the Hearing in Noise Test sentences at -4.5 dB SNR or better, which is similar to the level achievable with normal hearing. The Speech, Spatial and Qualities of Hearing Scale indicated no disadvantages of using the ADM relative to the omnidirectional microphone in real-life situations. The ADM was preferred over the omnidirectional microphone in 54% of situations, compared to 17% preferences for the omnidirectional microphone, and 29% no preference. The combination of the ADM to improve SNR, and ADRO to keep the signal output comfortable and audible provided near-normal hearing performance for people with moderate hearing loss. The ADM is the recommended microphone configuration for ADRO hearing aids."
"16787899","The effects of high-frequency amplification on the objective and subjective performance of hearing instrument users with varying degrees of high-frequency hearing loss.","PURPOSE: The purpose of the present study was to determine if amplifying beyond 2 kHz affected the objective and subjective performance of hearing instrument users with varying degrees of mild-to-severe high-frequency sensorineural hearing loss.METHOD: Twenty participants were fitted binaurally with digital completely-in-the-canal devices with 4-channel wide dynamic range compression (Starkey Axent). Each participant used the hearing instruments for two 6-week trial periods. Each hearing instrument was programmed to maximize high-frequency audibility during 1 trial period and minimize high-frequency audibility during the other trial period. Objective evaluations were conducted in quiet using the Connected Speech Test (CST) and in noise using the CST and the Hearing in Noise Test. Subjective performance was evaluated by administering the Abbreviated Profile of Hearing Aid Benefit and a questionnaire.RESULTS: Results indicated that high-frequency amplification significantly improved objective performance in noise and subjective preference in quiet for listeners with varying degrees of mild-to-severe high-frequency hearing loss. Results also suggested that high-frequency amplification may affect subjective preference in noise and overall for listeners with varying degrees of mild-to-severe high-frequency hearing loss when feedback is eliminated.CONCLUSION: Based on these significant benefits, dispensers should be aware that high-frequency amplification should, at least initially, be provided to the affected high-frequency regions when mild-to-severe hearing loss is present."
"16672792","The Performance-Perceptual Test (PPT) and its relationship to aided reported handicap and hearing aid satisfaction.","OBJECTIVE: Results of objective clinical tests (e.g., measures of speech understanding in noise) often conflict with subjective reports of hearing aid benefit and satisfaction. The Performance-Perceptual Test (PPT) is an outcome measure in which objective and subjective evaluations are made by using the same test materials, testing format, and unit of measurement (signal-to-noise ratio, S/N), permitting a direct comparison between measured and perceived ability to hear. Two variables are measured: a Performance Speech Reception Threshold in Noise (SRTN) for 50% correct performance and a Perceptual SRTN, which is the S/N at which listeners perceive that they can understand the speech material. A third variable is computed: the Performance-Perceptual Discrepancy (PPDIS); it is the difference between the Performance and Perceptual SRTNs and measures the extent to which listeners &quot;misjudge&quot; their hearing ability. Saunders et al. in 2004 examined the relation between PPT scores and unaided hearing handicap. In this publication, the relations between the PPT, residual aided handicap, and hearing aid satisfaction are described.DESIGN: Ninety-four individuals between the ages of 47 and 86 yr participated. All had symmetrical sensorineural hearing loss and had worn binaural hearing aids for at least 6 wk before participating. All subjects underwent routine audiological examination and completed the PPT, the Hearing Handicap Inventory for the Elderly/Adults (HHIE/A), and the Satisfaction for Amplification in Daily Life questionnaire. Sixty-five subjects attended one research visit for participation in this study, and 29 attended a second visit to complete the PPT a second time.RESULTS: Performance and Perceptual SRTN and PPDIS scores were normally distributed and showed excellent test-retest reliability. Aided SRTNs were significantly better than unaided SRTNs; aided and unaided PPDIS values did not differ. Stepwise multiple linear regression showed that the PPDIS, the Performance SRTN, and age were significant predictors of scores on the HHIE/A such that greater reported handicap is associated with underestimating hearing ability, poorer aided ability to understand speech in noise, and being younger. Scores on the Satisfaction with Amplification in Daily Life were not well explained by the PPT, age, or audiometric thresholds. When individuals were grouped by their HHIE/A scores, it was seen that individuals who report more handicap than expected based on their audiometric thresholds, have a more negative PPDIS, i.e., underestimate their hearing ability, relative to individuals who report expected handicap, who in turn have a more negative PPDIS than individuals who report less handicap than expected. No such patterns were apparent for the Performance SRTN.CONCLUSIONS: The study showed the PPT to be a reliable outcome measure that can provide more information than a performance measure and/or a questionnaire measure alone, in that the PPDIS can provide the clinician with an explanation for discrepant objective and subjective reports of hearing difficulties. The finding that self-reported handicap is affected independently by both actual ability to hear and the (mis)perception of ability to hear underscores the difficulty clinicians encounter when trying to interpret outcomes questionnaires. We suggest that this variable should be measured and taken into account when interpreting questionnaires and counseling patients."
"16482466","[The tasks of the ENT specialist by hearing aid fitting. Part 2: checking the fit, subjective satisfaction, ear mold and hearing aid].","The second part of this series deals with the tasks of the ENT-specialist, who must not endorse the prescription before making sure that the hearing aid recommended by the acoustician will bring sufficient hearing improvement, and that the suggested hearing aid is suitable. The report and audiograms of the acoustician must be compared to his own results, and a check of whether at least three hearing aids from different companies have been compared must be made. The primary aim of patient satisfaction can be checked by means of the &quot;Oldenburger Inventar&quot; (Oldenburg questionnaire), which determines the improvement of hearing ability in quiet and noise, and of auditory localization. Since the otoplastic substantially effects the amplification of the hearing aid, the ENT specialist should make sure that it does not produce feedback, that it has a second boring, and, in case of need, a Libby horn. He should also consider whether an open fitting would be more appropriate. A free-field measurement--with and without noise--shows whether the dB(opt) has been reached. The in situ measurement and the loudness rating by the Würzburger Hörfeld (Wuerzburg auditory field) are of great help in detecting fitting errors. Additional procedures, such as auditory speech training, lip reading, or technical devices, for instance FM-communication or a light alarm clock, are often employed in elderly patients."
"16440811","[Audiological effect of bone-anchored hearing aid].","The bone-anchored hearing aid (BAHA) has proved to be a valuable alternative to conventional air and bone conduction hearing aids for patients suffering from chronic otitis media or bilateral aural atresia. The BAHA gave better sound quality and greater comfort than conventional hearing aids (HAs), but only 1 study has been done in Japan. We implanted BAHAs in 6 hard-of-hearing patients in the last 2 years. One patient suffered skin problems around the abutment and used the BAHA only briefly. Free-field audiometry, the speech discrimination test (SDT), and the speech recognition test (SRT) were conducted in all subjects. They were evaluated either with the HA or BAHA. The SDT and SRT showed better hearing results in quiet for the BAHA than the conventional HA, but there was a minimum difference in SDT and SRT in noise. Subjects assessed the HA and BAHA using questionnaires. Subjects reported that the BAHA offers a number of important advantages, including greater cosmetic acceptability, improved speech intelligibility, and better sound quality."
"16436986","Amplification in the rehabilitation of unilateral deafness: speech in noise and directional hearing effects with bone-anchored hearing and contralateral routing of signal amplification.","OBJECTIVE: Vibromechanical stimulation with a semi-implantable bone conductor (Entific BAHA device) overcomes some of the head-shadow effects in unilateral deafness. What specific rehabilitative benefits are observed when the functional ear exhibits normal hearing versus moderate sensorineural hearing loss (SNHL)?DESIGN: The authors conducted a prospective trial of subjects with unilateral deafness in a tertiary care center.PATIENTS: This study comprised adults with unilateral deafness (pure-tone average [PTA] &gt; 90 dB; Sp.D. &lt; 20%) and either normal monaural hearing (n = 18) or moderate SNHL (PTA = 25-50 dB: Sp.D. &gt; 75%) in the contralateral functional ear (n = 5).INTERVENTIONS: Subjects were fit with contralateral routing of signal (CROS) devices for 1 month and tested before (mastoid) implantation, fitting, and testing with a bone-anchored hearing aid (BAHA).OUTCOME MEASURES: Outcome measures were: 1) subjective benefit; 2) source localization tests (Source Azimuth Identification in Noise Test [SAINT]); 3) speech discrimination in quiet and in noise assessed with Hearing In Noise Test (HINT) protocols.RESULTS: There was consistent satisfaction with BAHA amplification and poor acceptance of CROS amplification. General directional hearing decreased with CROS use and was unchanged by BAHA and directional microphone aids. Relative to baseline and CROS, BAHA produced significantly better speech recognition in noise. Twenty-two of 23 subjects followed up in this study continue to use their BAHA device over an average follow-up period of 30.24 months (range, 51-12 months).CONCLUSION: BAHA amplification on the side of a deaf ear yields greater benefit in subjects with monaural hearing than does CROS amplification. Advantages likely related to averting the interference of speech signals delivered to the better ear, as occurs with conventional CROS amplification, while alleviating the negative head-shadow effects of unilateral deafness. The advantages of head-shadow reduction in enhancing speech recognition with noise in the hearing ear outweigh disadvantages inherent in head-shadow reduction that can occur by introducing noise from the deaf side. The level of hearing impairment correlates with incremental benefit provided by the BAHA. Patients with a moderate SNHL in the functioning ear perceived greater increments in benefit, especially in background noise, and demonstrated greater improvements in speech understanding with BAHA amplification."
"17849636","Short-term and long-term hearing aid benefit and user satisfaction: a comparison between two fitting protocols.","Currently published hearing aid fitting protocols recommend speech-in-noise testing and loudness measures, but it remains unclear how these measures affect hearing aid benefit and user satisfaction. This study compared two protocols in their effects on benefit and satisfaction. Protocol A included an electroacoustic analysis, real-ear measures, and hearing aid adjustments based on users' comments. Protocol B included all of Protocol A and a speech-in-noise test, loudness discomfort levels, and aided loudness. Thirty-two participants completed the Abbreviated Profile of Hearing Aid Benefit (APHAB) and the Satisfaction with Amplification in Daily Life (SADL) at 45 days and three months post-initial fitting. Fewer hearing aid adjustments were made to the hearing aids for participants fitted with Protocol B than participants fitted with Protocol A, but final gains were similar for both groups. Although similar APHAB scores were obtained for both protocols, SADL scores decreased between 45 days and three months for Protocol A."
"17580727","Subjective measures of hearing aid benefit and satisfaction in the NIDCD/VA follow-up study.","Perceived benefit, satisfaction, and hearing aid use patterns were measured in a follow-up study to a large-scale multi-site clinical trial conducted in 1996-97. Measures included the Hearing Aid Status Questionnaire, the Profile of Hearing Aid Benefit, the Glasgow Hearing Aid Benefit Profile, the Satisfaction with Amplification in Daily Life, and the International Outcome Inventory for Hearing Aids. On the Profile of Hearing Aid Benefit, hearing aid users indicated more unaided difficulty in easy listening situations and less aided benefit in more difficult listening situations compared to the original study. Subjects who no longer used hearing aids indicated less difficulty in unaided situations. All measures indicated significant long-term subjective benefit and satisfaction with hearing aids. Although understanding speech in noise or in group situations continues to be problematic, subjects reported wearing their hearing aids almost all of the time in both easy and difficult listening situations."
"17580723","NIDCD/VA hearing aid clinical trial and follow-up: background.","This report provides background regarding the Long Term Follow-Up of Patients in the NIDCD/VA Hearing Aid Clinical Trial study and serves as an introduction to the detailed reports that follow in this issue of Journal of the American Academy of Audiology. The authors investigated five- to seven-year benefit/satisfaction in participants from the original NIDCDNA Hearing Aid Clinical Trial. The new study was designed to investigate current use of the original study hearing aids, to compare changes in selected audiological measures, and to assess possible predictors of long-term hearing aid use. The outcome measures included estimates of speech intelligibility in quiet and noise, self-reported patterns of hearing aid usage, self-reported estimates of activity limitations and quality-of-life issues, estimates of hearing aid satisfaction, and self-reported hearing aid benefit. Overall, the short-term benefits of hearing aid use observed during the original trial were noted to persist in the long term."
"17494874","Evidence for the use of hearing assistive technology by adults: the role of the FM system.","Hearing assistive technologies include listening, alerting, and/or signaling devices that use auditory, visual, and/or tactile modalities to augment communication and/or facilitate awareness of environmental sounds. The importance of hearing assistive technologies in the management of adults with hearing loss was recently acknowledged in an evidence-based clinical practice guideline developed by the American Academy of Audiology. Most currently available evidence for hearing assistive technology use by adults focuses on frequency-modulated (FM) technology. Previous research is reviewed that demonstrates the efficacy of FM devices for adults in terms of laboratory measures of speech understanding in noise. Also reviewed are the outcomes from field trials of FM use by community-dwelling adults, which, to date, have been disappointing. Few to no individuals, in previous studies, elected to use FM devices at the end of the trial periods. Data are presented from a 1-group pretest-posttest study examining the role of extensive counseling, coaching, and instruction on FM use by adults. In addition, the potential influence of the cost of devices to the individual was eliminated by conducting the study with veterans who were eligible to receive FM systems through the Veterans Affairs National Hearing Aid Program. Positive outcomes were obtained at the end of a 6-week trial period and were found to remain 1 year after study completion. Implications for increasing the evidence base for the use of FM devices by adults are discussed."
"17344545","The objective and subjective evaluation of multichannel expansion in wide dynamic range compression hearing instruments.","PURPOSE: The effects of multichannel expansion on the objective and subjective evaluation of 20 listeners fitted binaurally with 4-channel, digital in-the-ear hearing instruments were investigated.METHOD: Objective evaluations were conducted in quiet using the Connected Speech Test (CST) and in noise using the Hearing in Noise Test (HINT) at 40, 50, and 60 dB SPL. Subjective evaluations were conducted by having each participant (a) rate their satisfaction regarding the amount of noise reduction they perceived daily and (b) indicate which expansion condition they preferred overall after a 2-week trial. Three expansion settings were programmed into the hearing aids: 4-channel expansion, expansion restricted to Channels 1 and 2 only, and expansion off.RESULTS: Listeners performed significantly better in quiet (CST) and in noise (HINT) for the off condition than for either multichannel condition; however, restricting expansion to Channels 1 and 2 improved objective performance in quiet and in noise relative to the 4-channel condition. Conversely, satisfaction ratings were significantly greater for both multichannel conditions than for the off condition; however, satisfaction ratings were similar for the restricted and the 4-channel conditions. Overall, listeners preferred any form of multichannel expansion to no expansion; however, overall preference was similar for the restricted and the 4-channel conditions.CONCLUSIONS: Hearing instrument users prefer the use of multichannel expansion despite the fact multichannel expansion may significantly reduce the recognition of low-level speech in quiet and in noise. Although restricting expansion to Channels 1 and 2 (i.e., 2000 Hz and below) maintained subjective benefit for wide dynamic range compression hearing instrument users, the recognition of low-level speech was not completely preserved."
"19045657","The effect of the base line response on self-adjustments of hearing aid gain.","Self-adjustments of variable hearing aid parameters are essential for trainable hearing aids to provide customized amplification for different listening environments. Prompted by a finding of Dreschler et al. [Ear Hear. 29, 214-227 (2008)], this study investigates the effect of the base line (starting) response on self-adjustments of gain in different frequency bands. In a laboratory test, 24 hearing-impaired listeners adjusted the bass, treble, and overall gain to reach their preferred responses from two different base line responses for 12 different listening situations. The adjustments were repeated five times using the preferred response after each adjustment as base line response for the next adjustment. Half of the listeners further compared three different response shapes, within the range of preferred responses, pairwise ten times for preferential and perceptual discrimination. The results revealed that base line response biases were more pronounced at low frequencies and for listeners with a flat hearing loss configuration. While 83% of listeners reliably discriminated between the average selected biased responses, only 25% demonstrated reliable preferences for one response over the other. Listeners who showed preferential discrimination ability were those who were less biased by the base line response. The clinical implication is that self-adjustments should begin from an appropriately prescribed starting response."
"19034196","Longitudinal benefit from and satisfaction with the Baha system for patients with acquired unilateral sensorineural hearing loss.","OBJECTIVE: To analyze the short-, medium-, and long-term benefits from and satisfaction with the Baha for patients with profound unilateral sensorineural hearing loss (SNHL).DESIGN: Prospective clinical study.SETTING: Head and Neck Institute at the Cleveland Clinic.PATIENTS: Eight patients with acquired profound unilateral SNHL.INTERVENTIONS: Patients underwent unaided baseline testing and aided Baha testing using laboratory and self-report measures at 6 postfitting intervals.MAIN OUTCOME MEASURES: Laboratory measures included the revised Speech Perception in Noise test, Hearing in Noise Test, and localization testing. Disease-specific self-report measures included the Abbreviated Profile of Hearing Aid Benefit, Hearing Handicap Inventory for Adults, and Single-Sided Deafness Questionnaire. The Medical Outcomes Study SF-36 Health Survey was used to assess health-related quality of life.RESULTS: Based on 95% confidence intervals for unaided testing, significant improvements on aided revised Speech Perception in Noise, Abbreviated Profile of Hearing Aid Benefit, and Hearing Handicap Inventory for Adults scores were sustained during the 18-month test interval. Variable performance was observed for the Hearing in Noise Test over time and patients. No acclimatization effects were shown for localization testing or the generic health-related quality-of-life measure. Patients reported satisfaction in a variety of situations as quantified by the Single-Sided Deafness Questionnaire in the long-term.CONCLUSION: The Baha is effective in reducing psychosocial consequences of unilateral profound SNHL for the long-term. Improvement in speech understanding occurred when the primary signal was spatially separated from background noise. Localization performance did not improve with Baha use. Overall, patients were satisfied with their Baha and would still elect to have this procedure if given a second chance."
"18840704","Long-term usage of modern signal processing by listeners with severe or profound hearing loss: a retrospective survey.","PURPOSE: To investigate the long-term benefit of multichannel wide dynamic range compression (WDRC) alone and in combination with directional microphones and noise reduction/speech enhancement for listeners with severe or profound hearing loss.METHOD: At the conclusion of a research project, 39 participants with severe or profound hearing loss were fitted with WDRC in one program and WDRC with directional microphones and speech enhancement enabled in a 2nd program. More than 2 years after the 1st participants exited the project, a retrospective survey was conducted to determine the participants' use of, and satisfaction with, the 2 programs.RESULTS: From the 30 returned questionnaires, it seems that WDRC is used with a high degree of satisfaction in general everyday listening situations. The reported benefit from the addition of a directional microphone and speech enhancement for listening in noisy environments was lower and varied among the users. This variable was significantly correlated with how much the program was used.CONCLUSIONS: The less frequent and more varied use of the program with directional microphones and speech enhancement activated in combination suggests that these features may be best offered in a 2nd listening program for listeners with severe or profound hearing loss."
"18795473","Recording and classification of the acoustic environment of hearing aid users.","This article investigates the different acoustic signals that hearing aid users are exposed to in their everyday environment. Binaural microphone signals from recording positions close to the microphone locations of behind-the-ear hearing aids were recorded by 20 hearing aid users during daily life. The recorded signals were acoustically analyzed with regard to narrowband short-term level distributions. The subjects also performed subjective assessments of their own recordings in the laboratory using several questions from the Glasgow Hearing Aid Benefit Profile (GHABP) questionnaire. Both the questionnaire and the acoustic analysis data show that the importance, problems, and hearing aid benefit as well as the acoustic characteristics of the individual situations vary a lot across subjects. Therefore, in addition to a nonlinear hearing aid fitting, further signal classification and signal/situation-adaptive features are highly desirable inside modern hearing aids. These should be compatible with the variability of the individual sound environments of hearing-impaired listeners."
"18698521","Digital noise reduction: outcomes from laboratory and field studies.","The purpose of this study was to determine the impact of a digital noise reduction (DNR) scheme implemented in a current commercial hearing aid. In a double-blinded design, three conditions of onset time (4, 8, 16 seconds) were randomly assigned to the 25 subjects, plus one condition wherein the noise-reduction feature was disengaged. Subsequently, a fifth trial/condition, wherein the subject had access to three memories in which the different onsets were programmed, was carried out. For each of the five conditions, the subjects had an at-home trial, prior to obtaining self-report measures. Laboratory measures of speech perception showed no effect of the DNR, with or without the provision of visual cues. Laboratory-based ratings of ease of listening showed DNR-on (all onset times) to be rated significantly better than DNR-off; for ratings of listening comfort, the 4-second onset time was rated significantly lower (poorer) than the 8-second onset or the DNR-off condition; for ratings of sound quality, DNR-on or -off had no differential effect. Self-report measures indicated significantly higher aversiveness in the DNR-off condition compared to the pre-test scores."
"18664691","Candidacy for bilateral hearing aids: a retrospective multicenter study.","PURPOSE: The goal of this study was to find factors for refining candidacy criteria for bilateral hearing aid fittings. Clinical files of 1,000 consecutive hearing aid fittings were analyzed.METHOD: Case history, audiometric, and rehabilitation data were collected from clinical files, and an extensive questionnaire on long-term outcome measures was conducted. After at least 2 years of hearing aid use, 505 questionnaires were returned. In order to compare differences in benefits between unilateral and bilateral fittings, two subgroups were composed in which most relevant variables (age, degree of hearing loss, and audiometric asymmetry) were matched for unilateral fittings (n=212) and bilateral fittings (n=477).RESULTS: The bilateral group had significantly higher benefit scores than the unilateral group for detection, speech intelligibility in reverberation, and localization, but poorer scores for comfort of loud sounds. The benefit of bilateral hearing aids was not significantly related to the level of technology of the hearing aids.CONCLUSION: The analysis of the relation between objective parameters and the subjective outcome measures showed that candidacy for a successful bilateral fitting could not be predicted from age, maximum speech intelligibility, employment, exposure to background noise, or social activities."
"18561116","Treatment of tinnitus with a customized acoustic neural stimulus: a controlled clinical study.","In patients with tinnitus, achieving consistently positive treatment results is a challenge. We conducted a controlled clinical study of a new treatment approach (Neuromonics Tinnitus Treatment) that involves the use of a customized neural stimulus. This stimulus is delivered to the patient in the form of a pleasant acoustic sensation that is spectrally modified according to each patient's individual audiometric profile. This treatment approach is provided as part of a structured rehabilitation program. In our study, patients who received the customized stimulus (Neuromonics group) reported significantly greater and more consistent alleviation of tinnitus symptoms than did patients who participated in a counseling and support program with and without delivery of a broadband noise stimulus (Noise+Counseling group and Counseling-Only group, respectively). After 6 months of treatment, 86% of the Neuromonics patients met the minimum criterion for clinical success, defined as an alleviation of tinnitus disturbance of at least 40% (as determined by the Tinnitus Reaction Questionnaire score). By contrast, only 47 and 23% of the Noise+Counseling and Counseling-Only groups, respectively, reported a successful result according to this criterion. Mean improvements in tinnitus disturbance scores in the Neuromonics, Noise+Counseling, and Counseling-Only groups were 66, 22, and 15%, respectively. The differences between the Neuromonics group and the control groups were statistically significant. Significant differences were observed in other clinical outcomes. Patient reports of user acceptability were more consistently positive in the Neuromonics group."
"18365229","A comparative study of the audiological outcomes with Retro-X (semi-implantable hearing aid system) and conventional open fitting hearing aids.","The objective of this study was to compare the results of hearing augmentation with the Retro-X semi-implantable hearing aid to a conventional non-implantable open canal hearing aid using the same software technology (Titan-X, auric Hearing Systems, HiKaNo.:13.20.03.0047). Nineteen subjects (20 ears) with mild to moderate high-frequency sensory-neural hearing loss were included in this clinical study. All the subjects were first fitted with a conventional open canal hearing aid (Titan-X). After a period of 4-6 weeks audiological evaluations were performed using standardized speech tests in quiet and noise. Subjective evaluation was performed with the help of standardized questionnaires. After this phase the patients received the semi-implantable Retro-X device under local anaesthesia and 4 weeks later were fitted with a hearing module with the same software technology as the conventional Titan-X hearing aid. Four weeks following the first fitting the same audiological evaluations were performed under similar conditions and the patients were evaluated again using the same questionnaires in order to compare the results of the Retro-X semi-implantable system with the conventional open canal hearing aid. Audiological evaluations revealed better results with the semi-implantable Retro-X in the adaptive speech in noise test; however, the results of the monosyllabic word test in quiet were similar for the Retro-X and conventional open canal hearing aid. The patients subjectively preferred the improved wearing comfort of the semi-implantable device. The Retro-X semi-implantable hearing aid provides better speech perception in noise and higher wearing comfort in comparison to the conventional open canal hearing aids. Considering the simple implantation procedure under local anaesthesia with low complication rate, Retro-X is an alternative to the conventional open canal hearing aids in patients with mild to moderate high frequency sensory-neural hearing loss."
